# Mapping from development commit identifiers to the released commits.
# Commit messages were normalized before release (Co-Authored-By trailers removed);
# file trees are byte-identical: old_sha^{tree} == new_sha^{tree} for all 57 commits.
old_sha	new_sha
dd509ab48a6242636b3b2905eb89f74098f13969	b320906692d4046d579d8ffd00a31b02b0f08acf
205def4ab04880a19bfa325135431138d89097c1	a07f0614cdf79b22b8f0895e7205a8ee25791be1
87898ed66302b50b84b7cb940b678812467f41a0	5b2b6964417d6d2006ae1bc2edaca76a8c49f23c
b0f939f32ab634cb9f52c23bc08b0bba8677b4c7	c6f86776262ea92e71b4f763c872b636ca1f4c85
4e234db9e9a754735f27456f5617258b2f4c0f08	64bd060e56694393aa6998b7c7c6d7863419529e
c99c900fcab325b81d5f1e367958946b9efd0780	497ad1c53933778f3b88ffda77a9cc702e6ad241
cb91bea943099f194b42980afa32fd4c9ccd3859	135d1f32314150d391c53cefd46842290656b5f6
10ddb1a7e1c72016aba0d3ffe755a674e88567a7	fb498d0e34ff90694b2149fc7e6b4176e1a9e031
2678bad6ea854d922b3b45a5754c7d7291886dd7	46bea98258c69257aada82aab7e11a990d88964a
94ef40ded6aae9c2c7d9e40d31256e92ebf693e6	d28970cc26d84cf0a426b42f8ec03a11bda817d2
21a29403482b815357a992ad96f07a30b237eff7	8dfd839fe298bf67cafb1b03599f746f6855c090
57db0030c5a9c053e3509eae4712fb5a30810283	ce30c35a9ea7e3be03c7c05d839af6590097ea9d
7304632916ca21cd447ea175b79b0c2f645b26ed	b7d36f10582e8f45f7a62853d545dd028c354813
36b4e8c36d0efd7d860fdc7d56f8c29359e58039	5df2863fb53bedb9005344163522063d83c9b403
537e582c0ec751dbe2c0b43682a91f00e3e7d7a9	53f65be841f8d2140f1f43d0605c15850b2df3e4
22546f0d790d9e5a316afc7ccab948a29b76248c	ccc8bff2db2af480dbb986941a0f347b37c1356f
d92a233c7a7cbaf88b680b1140dcf816c535bee5	1150dced7785fabd671e8e6a190c45ec0098f824
cb759772eb61ae8496524e8b84828af2af2852d6	e33388858fc1d222b5d5d0fecb0cf3bab04bb951
d3337db19a21485fe3849213490e651ac1d8d578	52cf5083f42741d342be1802cc67b617f95ccd0b
c18ef4a1c007ea34103645bb2c130f6442fe8a9b	9bd768bb9ec0b94a2403570a04c62d2c054c03d5
804b55d3ee4b1d9fb0675da41bbb423019084b0e	2638ffe05578bba7ee6ca23c0a0e9e3912d4151d
0400028a1c649a2119a42f47a438682bbcefb9ec	f498136a6ffec9b2b874e1837ec6b4e101c2c73d
043854962a8f16c1086494e891d847edf3ef0c90	227b25c9b6fa228eb3950de362ca48b02c26ab36
a1ce633e13f3004f4342e66a916379ca32f1d3dd	ddfcaec9e26bf54ab3928d79b4b9576b2c71779b
9998f184c1c0bb04ca3950a646ab003afe234c08	a9855c10c039eacc927e268973f950223e9891a3
27c5e84cf54c9ac9134f4087f988883e5be3bffc	f48104394b933d7ecec3adee6d33f57c2f14b083
86850208515751d1aad97c80f87d94486c74c830	b365f056e66d3bbd90ad6fa234ad170065df919a
a0279e8b03dd4ec7c0dba38a55a1c6bf149d8f63	ae06bfe4694ac43bc6b8388ca2009de716d2b081
557ab6ca2961d63e36844cc832d14beff8296239	33311fa2053459b3cd012fc06bf30bc9ac2a5f00
a187ccbee41825ad1f554267c2c74dfb565af587	820d99c9c3c0809095b67cf6036f28e9f6ce9651
e7287be13927e64494ac2048e0048d469a760a7b	8363a160ad30da47b514dd3e78bbb65c62af316a
30b8984bff416a577be935d566b30e400b472296	a4e05dfd036b6e3ae55f9b726b59caa9185baabc
30b231e5b168de6ea1ac1ffc21b79a05cf953c93	266ac0b49b0f7387165c10bf529f872364f90491
310ad1f65597bb71feb2cc4ef86475f82a75f300	353e92e2a48432ffb7764faba1886479a3a52ee2
0c05694f285e358f0eabe02d62ea23782b72637d	0f06f85b0125597fdf008589a43ae92c81db5e0c
0a37d31fcf69e0be701152907068788553a0de09	3912ff569df7fb10096bb5bd5db9763241f3689e
1b1af703f6fd52dd9c5bce1d8dcca0019ecca378	5cb167f14a51c9a494e24ceeb6e33aa687f73bec
d6088b387b540bd679bfdb2364147db6c905db2c	c8a81f1efd152561a120db8386223d161b0daba1
1f066f0a4099be095cb494cffb582e213b0afa4f	bd37229fc66ccb87d59c89da5b7854fdfe0b0c55
cf7b91984a28647f9fe6d93c4a39016f4aa7a3ae	2acfbede0e8883ade85c48bb33d8cda3b254281b
11678fcb7ae1863ecdf727da3440f06f3930f2ac	5e9ecbfb97a00f3e3c3d4c75e9c6eaede7c1a644
ef122d4cab798f71cf95fd252a9f16aefb8d83c8	f2d73922e60a4c5b830665b83baad9d320470ba6
b19ae0db0febe1f7f33ff02359be77a7df565b27	20cd9d1ed3ce8a4ce5ba4cccc818843ef47071a4
ff8b809fee2101f19e4a4c9fdcbce1a1c104d928	4b935f06569b9148d8c6900b69ae33286d80cdea
faa3bfa46e5005cc87a32103f5ecf3bbfe856fff	43436841331ff909a5186a3490ed1fcc1a97adab
# paper stamp: 7B main run (Reproducibility section)
83db8131bbef8516b7f6ad7fbf1e0fd89c588ef1	0b46390989a3a73652d87f1b03579e955b7af489
# paper stamp: 11B main run (Reproducibility section)
a023c3b2c239b57d700b174ac92b5d166c7e6f6a	6d71818fa39784a5fac7d99334bc626a62ed27b6
71b6083ba48e91261292c1ea23d04988cedefd26	9da01149c221bfe7eaf35cfcfc8603c4a6a24af2
# paper stamp: extended ladder (Reproducibility section)
e584b38ec7045f37bfe3c42c402ca25995c8b2e7	56607b6f66ca46c14bc4d255de47ed92eade20d9
