run_id,model_id,quant,suite,repair,git_ref,verdict_source,num_tasks,num_passed,pass_rate,source_dir
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,15,14,0.9333,results/v3_arith_clean_2026-06-18/gate_q8_easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,67,10,0.1493,results/v3_arith_clean_2026-06-18/q2_no_repair
v3_arith_clean_2026-06-18__q2_repair,bielik-minitron-7b-v3,Q2_K,main67,on,83db813,eval.smoke.evaluate,67,12,0.1791,results/v3_arith_clean_2026-06-18/q2_repair
v3_arith_clean_2026-06-18__q3_no_repair,bielik-minitron-7b-v3,Q3_K_M,main67,off,83db813,eval.smoke.evaluate,67,31,0.4627,results/v3_arith_clean_2026-06-18/q3_no_repair
v3_arith_clean_2026-06-18__q3_repair,bielik-minitron-7b-v3,Q3_K_M,main67,on,83db813,eval.smoke.evaluate,67,31,0.4627,results/v3_arith_clean_2026-06-18/q3_repair
v3_arith_clean_2026-06-18__q4_no_repair,bielik-minitron-7b-v3,Q4_K_M,main67,off,83db813,eval.smoke.evaluate,67,34,0.5075,results/v3_arith_clean_2026-06-18/q4_no_repair
v3_arith_clean_2026-06-18__q4_repair,bielik-minitron-7b-v3,Q4_K_M,main67,on,83db813,eval.smoke.evaluate,67,40,0.597,results/v3_arith_clean_2026-06-18/q4_repair
v3_arith_clean_2026-06-18__q8_no_repair,bielik-minitron-7b-v3,Q8_0,main67,off,83db813,eval.smoke.evaluate,67,30,0.4478,results/v3_arith_clean_2026-06-18/q8_no_repair
v3_arith_clean_2026-06-18__q8_repair,bielik-minitron-7b-v3,Q8_0,main67,on,83db813,eval.smoke.evaluate,67,38,0.5672,results/v3_arith_clean_2026-06-18/q8_repair
v3_11b_2026-06-18__q2_no_repair,bielik-11b-v3,Q2_K,main67,off,a023c3b,eval.smoke.evaluate,67,3,0.0448,results/v3_11b_2026-06-18/q2_no_repair
v3_11b_2026-06-18__q2_repair,bielik-11b-v3,Q2_K,main67,on,a023c3b,eval.smoke.evaluate,67,5,0.0746,results/v3_11b_2026-06-18/q2_repair
v3_11b_2026-06-18__q3_no_repair,bielik-11b-v3,Q3_K_M,main67,off,a023c3b,eval.smoke.evaluate,67,48,0.7164,results/v3_11b_2026-06-18/q3_no_repair
v3_11b_2026-06-18__q3_repair,bielik-11b-v3,Q3_K_M,main67,on,a023c3b,eval.smoke.evaluate,67,48,0.7164,results/v3_11b_2026-06-18/q3_repair
v3_11b_2026-06-18__q4_no_repair,bielik-11b-v3,Q4_K_M,main67,off,a023c3b,eval.smoke.evaluate,67,36,0.5373,results/v3_11b_2026-06-18/q4_no_repair
v3_11b_2026-06-18__q4_repair,bielik-11b-v3,Q4_K_M,main67,on,a023c3b,eval.smoke.evaluate,67,40,0.597,results/v3_11b_2026-06-18/q4_repair
v3_11b_2026-06-18__q5_no_repair,bielik-11b-v3,Q5_K_M,main67,off,a023c3b,eval.smoke.evaluate,67,50,0.7463,results/v3_11b_2026-06-18/q5_no_repair
v3_11b_2026-06-18__q5_repair,bielik-11b-v3,Q5_K_M,main67,on,a023c3b,eval.smoke.evaluate,67,51,0.7612,results/v3_11b_2026-06-18/q5_repair
v3_11b_2026-06-18__q6_no_repair,bielik-11b-v3,Q6_K,main67,off,a023c3b,eval.smoke.evaluate,67,56,0.8358,results/v3_11b_2026-06-18/q6_no_repair
v3_11b_2026-06-18__q6_repair,bielik-11b-v3,Q6_K,main67,on,a023c3b,eval.smoke.evaluate,67,57,0.8507,results/v3_11b_2026-06-18/q6_repair
v3_11b_2026-06-18__q8_no_repair,bielik-11b-v3,Q8_0,main67,off,a023c3b,eval.smoke.evaluate,67,54,0.806,results/v3_11b_2026-06-18/q8_no_repair
v3_11b_2026-06-18__q8_repair,bielik-11b-v3,Q8_0,main67,on,a023c3b,eval.smoke.evaluate,67,54,0.806,results/v3_11b_2026-06-18/q8_repair
v3_7b_grid_2026-07-29__q5_no_repair,bielik-minitron-7b-v3,Q5_K_M,main67,off,e584b38,run.log,67,35,0.5224,results/v3_7b_grid_2026-07-29/q5_no_repair
v3_7b_grid_2026-07-29__q5_repair,bielik-minitron-7b-v3,Q5_K_M,main67,on,e584b38,run.log,67,40,0.597,results/v3_7b_grid_2026-07-29/q5_repair
v3_7b_grid_2026-07-29__q6_no_repair,bielik-minitron-7b-v3,Q6_K,main67,off,e584b38,run.log,67,31,0.4627,results/v3_7b_grid_2026-07-29/q6_no_repair
v3_7b_grid_2026-07-29__q6_repair,bielik-minitron-7b-v3,Q6_K,main67,on,e584b38,run.log,67,38,0.5672,results/v3_7b_grid_2026-07-29/q6_repair
v3_pllum_2026-07-29___gateC_q8_easy,llama-pllum-8b,Q8_0,subset15,off,e584b38,run.log,15,6,0.4,results/v3_pllum_2026-07-29/_gateC_q8_easy
v3_pllum_2026-07-29___gateC_q8_easy_repair,llama-pllum-8b,Q8_0,subset15,on,e584b38,run.log,15,7,0.4667,results/v3_pllum_2026-07-29/_gateC_q8_easy_repair
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q2_ladder_no_repair
v3_pllum_2026-07-29__q2_ladder_repair,llama-pllum-8b,Q2_K,ladder46,on,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q2_ladder_repair
v3_pllum_2026-07-29__q2_main_no_repair,llama-pllum-8b,Q2_K,main67,off,e584b38,run.log,67,1,0.0149,results/v3_pllum_2026-07-29/q2_main_no_repair
v3_pllum_2026-07-29__q2_main_repair,llama-pllum-8b,Q2_K,main67,on,e584b38,run.log,67,1,0.0149,results/v3_pllum_2026-07-29/q2_main_repair
v3_pllum_2026-07-29__q3_ladder_no_repair,llama-pllum-8b,Q3_K_M,ladder46,off,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q3_ladder_no_repair
v3_pllum_2026-07-29__q3_ladder_repair,llama-pllum-8b,Q3_K_M,ladder46,on,e584b38,run.log,46,0,0.0,results/v3_pllum_2026-07-29/q3_ladder_repair
v3_pllum_2026-07-29__q3_main_no_repair,llama-pllum-8b,Q3_K_M,main67,off,e584b38,run.log,67,15,0.2239,results/v3_pllum_2026-07-29/q3_main_no_repair
v3_pllum_2026-07-29__q3_main_repair,llama-pllum-8b,Q3_K_M,main67,on,e584b38,run.log,67,18,0.2687,results/v3_pllum_2026-07-29/q3_main_repair
